objid,redshift,plate,mjd,fiberid,class
1237648702971445443,0.083068,293,51689,84,GALAXY
1237648702971576349,0.0844,293,51689,83,GALAXY
1237648702971445451,0.080652,293,51689,82,GALAXY
1237648721756356779,0.096984,271,51883,421,GALAXY
1237648722293031156,0.070734,271,51883,379,GALAXY
1237648722293030959,0.097634,271,51883,377,GALAXY
1237648722293031151,0.121823,271,51883,371,GALAXY
1237648722829901957,0.215813,271,51883,362,GALAXY
1237648721219158109,0.090375,271,51883,358,GALAXY
1237648721756094577,0.094047,271,51883,349,GALAXY
1237648721219158167,0.097304,271,51883,346,GALAXY
1237648721755635888,0.094214,270,51909,479,GALAXY
1237648721218699455,0.058384,270,51909,465,GALAXY
